,Unnamed: 0,construct,method,model_name,r,95% CI
0,0.0,E_Scale_score,bow,XGBRegressor,0.1972696817082854,"[0.09, 0.3]"
1,0.0,A_Scale_score,bow,XGBRegressor,0.1945048980576631,"[0.08, 0.3]"
2,0.0,O_Scale_score,bow,XGBRegressor,0.0735709336319188,"[-0.04, 0.19]"
3,0.0,C_Scale_score,bow,XGBRegressor,0.0739420307009121,"[-0.04, 0.19]"
4,0.0,N_Scale_score,bow,XGBRegressor,0.1261866175795433,"[0.01, 0.24]"
5,0.0,E_Scale_score,bow,CatBoostRegressor,0.1470854195914082,"[0.03, 0.26]"
6,0.0,A_Scale_score,bow,CatBoostRegressor,0.2443185703833998,"[0.13, 0.35]"
7,0.0,O_Scale_score,bow,CatBoostRegressor,0.0707206985564741,"[-0.04, 0.18]"
8,0.0,C_Scale_score,bow,CatBoostRegressor,0.1002377336573186,"[-0.01, 0.21]"
9,0.0,N_Scale_score,bow,CatBoostRegressor,0.0819012715847401,"[-0.03, 0.19]"
10,0.0,E_Scale_score,bow,LGBMRegressor,0.1209374688896907,"[0.01, 0.23]"
11,0.0,A_Scale_score,bow,LGBMRegressor,0.1678311449659743,"[0.06, 0.28]"
12,0.0,O_Scale_score,bow,LGBMRegressor,0.0757327520785414,"[-0.04, 0.19]"
13,0.0,C_Scale_score,bow,LGBMRegressor,0.0798959352907343,"[-0.03, 0.19]"
14,0.0,N_Scale_score,bow,LGBMRegressor,0.1181859062782433,"[0.01, 0.23]"
15,0.0,E_Scale_score,bow,ElasticNet,0.1645024243131264,"[0.05, 0.27]"
16,0.0,A_Scale_score,bow,ElasticNet,0.1691815397526073,"[0.06, 0.28]"
17,0.0,O_Scale_score,bow,ElasticNet,0.1215245555561543,"[0.01, 0.23]"
18,0.0,C_Scale_score,bow,ElasticNet,0.0663887547119574,"[-0.05, 0.18]"
19,0.0,N_Scale_score,bow,ElasticNet,0.1475378111189293,"[0.03, 0.26]"
20,0.0,E_Scale_score,bow,RandomForestRegressor,0.2233220424442728,"[0.11, 0.33]"
21,0.0,A_Scale_score,bow,RandomForestRegressor,0.2634718550648757,"[0.15, 0.37]"
22,0.0,O_Scale_score,bow,RandomForestRegressor,0.1177491995715834,"[0.0, 0.23]"
23,0.0,C_Scale_score,bow,RandomForestRegressor,0.1042952572569348,"[-0.01, 0.21]"
24,0.0,N_Scale_score,bow,RandomForestRegressor,0.1817999029477404,"[0.07, 0.29]"
25,0.0,E_Scale_score,empath,XGBRegressor,0.1137644907550631,"[0.0, 0.22]"
26,0.0,A_Scale_score,empath,XGBRegressor,0.1413262230040012,"[0.03, 0.25]"
27,0.0,O_Scale_score,empath,XGBRegressor,0.096989852545141,"[-0.02, 0.21]"
28,0.0,C_Scale_score,empath,XGBRegressor,0.0067750093537377,"[-0.11, 0.12]"
29,0.0,N_Scale_score,empath,XGBRegressor,0.0352103817608711,"[-0.08, 0.15]"
30,0.0,E_Scale_score,empath,CatBoostRegressor,0.1079161734469646,"[-0.01, 0.22]"
31,0.0,A_Scale_score,empath,CatBoostRegressor,0.1431303470725027,"[0.03, 0.25]"
32,0.0,O_Scale_score,empath,CatBoostRegressor,0.1805185002400251,"[0.07, 0.29]"
33,0.0,C_Scale_score,empath,CatBoostRegressor,0.012322783765223,"[-0.1, 0.13]"
34,0.0,N_Scale_score,empath,CatBoostRegressor,0.0637885513797776,"[-0.05, 0.18]"
35,0.0,E_Scale_score,empath,LGBMRegressor,0.0937239801404618,"[-0.02, 0.2]"
36,0.0,A_Scale_score,empath,LGBMRegressor,0.1649873368133753,"[0.05, 0.27]"
37,0.0,O_Scale_score,empath,LGBMRegressor,0.0632851002234184,"[-0.05, 0.18]"
38,0.0,C_Scale_score,empath,LGBMRegressor,-0.0221189570526763,"[-0.14, 0.09]"
39,0.0,N_Scale_score,empath,LGBMRegressor,-0.0040255160616808,"[-0.12, 0.11]"
40,0.0,E_Scale_score,empath,ElasticNet,0.1562725376024988,"[0.04, 0.26]"
41,0.0,A_Scale_score,empath,ElasticNet,0.2004743218342541,"[0.09, 0.31]"
42,0.0,O_Scale_score,empath,ElasticNet,0.1581006541029213,"[0.05, 0.27]"
43,0.0,C_Scale_score,empath,ElasticNet,0.0865870457821523,"[-0.03, 0.2]"
44,0.0,N_Scale_score,empath,ElasticNet,0.1118377902592283,"[-0.0, 0.22]"
45,0.0,E_Scale_score,empath,RandomForestRegressor,0.1292117870935934,"[0.02, 0.24]"
46,0.0,A_Scale_score,empath,RandomForestRegressor,0.1522107354855515,"[0.04, 0.26]"
47,0.0,O_Scale_score,empath,RandomForestRegressor,0.0950640849359791,"[-0.02, 0.21]"
48,0.0,C_Scale_score,empath,RandomForestRegressor,-0.0159491214646721,"[-0.13, 0.1]"
49,0.0,N_Scale_score,empath,RandomForestRegressor,0.0606777444547367,"[-0.05, 0.17]"
50,,A_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.2848608253234136,"[0.18, 0.39]"
51,,C_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.1109444352686721,"[-0.0, 0.22]"
52,,E_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.3423760166086643,"[0.24, 0.44]"
53,,N_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.215107839250632,"[0.1, 0.32]"
54,,O_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.2026107051272915,"[0.09, 0.31]"
55,,A_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.276188174422473,"[0.17, 0.38]"
56,,C_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.149294591234724,"[0.04, 0.26]"
57,,E_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.3212450196978619,"[0.22, 0.42]"
58,,N_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.2456881837382196,"[0.14, 0.35]"
59,,O_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.1455430116931388,"[0.03, 0.25]"
60,,A_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.2034348143637878,"[0.09, 0.31]"
61,,C_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.096326640720591,"[-0.02, 0.21]"
